locale_id;sk;sk - upravena hlaska;en;en-upravena hlaska
codeListList.state.READY_TO_PUBLISH;Pripravený na publikovanie;;Ready for publishing;
codeListList.state.REJECTED;Zamietnutá;;Rejected;
codeListList.state.UPDATING;Upravovaný;;Modified;
codeListList.table.code;Kód;;Code;
codeListList.table.effectiveFrom;Začiatok účinnosti;;Valid as of;
codeListList.table.isBase;Základný číselník;;Base codelist;
codeListList.table.mainGestor;Gestor číselníka;;Main authority;
codeListList.table.name;Názov číselníka;;Codelist name;
codeListList.table.state;Stav;;State;
codeListList.title;Číselníky;;Codelists;
confirmationModal.cancelButtonLabel;Zrušiť;;;
confirmationModal.okButtonLabel;OK;;;
crash.copyError;Skopírovať error;Skopírovať chybu;Copy error message;
crash.description;Zaznamenali sme interný problém s aplikáciou;Zaznamenali sme interný problém s aplikáciou.;We noticed an internal problem with the application;
crash.heading;Ups, niečo sa pokazilo;;Ups, unexpected error occured;
crash.reload;Obnoviť stránku;;Reload page;
createEntity.addNewRow;Pridať nový riadok;;Add new row;
createEntity.errorMessage;Ospravedlňujeme sa, ale pri úprave položky nastala technická chyba. Pokúste sa zopakovať odoslanie formuláru. V prípade, že sa chyba vyskytla opakovane, kontaktujte administrátora e-mailom na ;Ospravedlňujeme sa, ale pri úprave položky nastala technická chyba. Pokúste sa zopakovať odoslanie formuláru. V prípade, že sa chyba vyskytla opakovane, prosím, kontaktujte administrátora MetaIS e-mailom na adrese:;We apologize, but a technical error occurred while editing the item. Try submitting the form again. If the error occurs repeatedly, contact the administrator by e-mail ;We apologize, but a technical error occurred while editing the item. Try submitting the form again. If the error occurs repeatedly, contact the administrator at: 
createEntity.errorTitle;Nastala chyba;Nastala chyba.;Error occured;
createEntity.mutationError;Chyba pri vykonávaní vašej akcie. Skúste to znova alebo kontaktujte podporu.;Nastala chyba pri vykonávaní Vašej akcie. Pokúste sa akciu zopakovať. V prípade, že sa chyba vyskytla opakovane, kontaktujte, prosím, administrátora MetaIS e-mailom na adrese: ;Error while executing your action. Please try again or contact support.;
createEntity.orgAndRoleError.message;Chýbajú vám práva na vytvorenie položky pod touto organizáciou;Pre vytvorenie položky pod touto organizáciou nemáte dostatočné oprávnenia.;You are missing rights for creating item under this organization;
createEntity.orgAndRoleError.title;Chýbajúce práva pre organizáciu;Chýbajúce práva pre organizáciu.;Missing rights for organization;
createEntity.publicAuthority;Povinná osoba;;Public Authority;
createEntity.redirectError;Nepodarilo sa spracovať vytvorenie novej položky. Ďalšie informácie nájdete v upozorneniach.;;Failed to process new item creation. Check notifications for more information.;
createEntity.redirectErrorEdit;Nepodarila sa spracovať aktualizáciu novej položky. Ďalšie informácie nájdete v upozorneniach.;;Failed to process updating of current item. Check notifications for more information.;
createEntity.redirectLoading;Spracúva sa vytvorenie novej položky;Vytvorenie novej položky sa spracováva.;Processing creation of new item;
createEntity.redirectLoadingEdit;Prebieha aktualizácia údajov na entite;Prebieha aktualizácia údajov na entite.;Updating data on item;
createEntity.required;povinné;;required;
createEntity.role;Rola;;Role;
createEntity.select;Vyber...;;Select...;
createEntity.tooManyFetchesError;Pri spracovaní došlo k chybe. Akcia trvala príliš dlho. Ďalšie informácie nájdete v upozorneniach.;;There was a mistake during processing. Action took too long. Check notifications for more information.;
createEntity.units;(Hodnota v {{units}});;(Value in {{units}});
customAttributeFilter.add;+ Pridať filter;;+ Add filter;
customAttributeFilter.addRowErrorClose;Zatvoriť upozornenie;;Close warning;
customAttributeFilter.addRowErrorMessage;Nie je možné pridať viac ako {{value}} vlastných filtrov.;;You can not add more than {{value}} custom filters.;
customAttributeFilter.attribute.label;Atribút;;Attribute;
customAttributeFilter.attribute.placeholder;Vyberte;;Pick;
customAttributeFilter.operator.eq;=;;=;
customAttributeFilter.operator.gt;>;;>;
customAttributeFilter.operator.gte;=<;;=<;
customAttributeFilter.operator.ilike;Obsahuje;;Contains;
customAttributeFilter.operator.label;Podmienka;;Condition;
customAttributeFilter.operator.lt;<;;<;
customAttributeFilter.operator.lte;=>;;=>;
customAttributeFilter.operator.placeholder;Vyberte;;Pick;
customAttributeFilter.remove;Vymazat;Vymazať;Remove;
customAttributeFilter.value.label;Hodnota;;Value;
customAttributeFilter.value.labelNo;Nie;;No;
customAttributeFilter.value.labelYes;Áno;;Yes;
customAttributeFilter.value.placeholder;Zadajte;;Enter the value;
customAttributeFilter.value.placeholderSelect;Vyberte;;Choose option;
customAttributeFilter.value.placeholderSelectMulti;Vyberte viacero;;Choose multiple;
date;{{date, DATE_SHORT}};;{{date, DATE_SHORT}};
dateTime;{{date, DATETIME_SHORT_WITH_SECONDS}};;{{date, DATETIME_SHORT_WITH_SECONDS}};
documentsTab.addNewDocument;Pridať nový dokument;;Add new document;
documentsTab.allDocuments;Všetky dokumenty;;All documents;
documentsTab.card.fileName;Názov súboru;;File name;
documentsTab.card.size;Veľkosť;;Size;
documentsTab.card.type;Typ dokumentu;;Document type;
documentsTab.card.version;Verzia;;Version;
documentsTab.requiredDocs;Dokumenty potrebné pre aktuálnu fázu;;Documents required for the current phase;
documentsTab.table.createdAt;Vytvorené;;Created;
documentsTab.table.createdBy;Vytvoril;;Created by;
documentsTab.table.evidenceStatus;Stav evidencie;;Evidence status;
documentsTab.table.lastModifiedAt;Posledná zmena;;Last change;
documentsTab.table.lastModifiedBy;Poslednú zmenu vykonal;;Last change by;
documentsTab.table.name;Názov;;Name;
documentsTab.table.note;Poznámka;;Note;
download;Stiahnuť;;Download;
draftsList.heading;Zoznam návrhov predložených prostredníctvom MetaIS;;Drafts list;
errors.NoChangesDetected;Nezaznamenali sme žiadne zmeny;Nezaznamenali sme žiadne zmeny.;No changes detected;
errors.codeList.Check historizable lists - two FromDates in one list are equals.;Dva dátumy začiatku účinnosti sa rovnajú.;;Two effective dates are equal.;
errors.codeList.cl.consistency.request.more.thanone;Nastala interná chyba v základných číselníkoch. Existuje viacero verzií požiadavky na číselník.;;Internal error in base codelists. There are multiple versions of codelist request.;
errors.codeList.cl.consistency.temporal.exists.without.origin;Nastala interná chyba v základných číselníkoch. Existuje rozpracovaná verzia číselníka bez publikovanej verzie.;;Internal error in base codelists. There is version in-progress of codelist without published version.;
errors.codeList.cl.header.`;Nesprávna požiadavka. Číselník s daným kódom neexistuje.;;Invalid request. Codelist with specified code does not exist.;
errors.codeList.cl.header.inappropriate.wfstate;Nesprávna požiadavka. Číselník nie je v korektnom stave pre danú operáciu.;;Invalid request. Codelist is in incorrect state for particular operation.;
errors.codeList.cl.header.locked;Nesprávna požiadavka. Číselník s daným kódom je zamknutý.;;Invalid request. Codelist with specified code is locked.;
errors.codeList.cl.header.not.locked;Nesprávna požiadavka. Číselník s daným kódom nie je zamknutý. Nie je možné vykonať danú operáciu nad odomknutým číselníkom.;;Invalid request. Codelist with specified code is unlocked. It is not possible to perform particular operation over unlocked codelist.;
errors.codeList.cl.header.original.notexists;Nesprávna požiadavka. Neexistuje číselník s daným kódom v stave nový.;;Invalid request. Codelist with specified code does not exist with status new.;
errors.codeList.cl.header.temporal.exists;Pri pridávaní novej jazykovej verzie nesmie existovať upravená verzia číselníka.;;Modified codelist version can not exist when adding a new language version.;
errors.codeList.cl.header.temporal.notexists;Nesprávna požiadavka. Neexistuje číselník s daným kódom v stave rozpracovaný.;;Invalid request. Codelist with specified code does not exist with status in-process.;
errors.codeList.cl.invalid.date.from.before.to;Nesprávna požiadavka. Dátum pre účinnosť od je menší ako dátum pre účinnosť do.;;Invalid request. Date effective of is earlier than date effective to.;
errors.codeList.cl.invalid.date.overlap;Nesprávna požiadavka. Parameter obsahuje verzie hodnôt, ktoré sa prekrývajú v čase.;;Invalid request. Parameter includes value versions that overlap in time.;
errors.codeList.cl.invalid.date.same.from;Nesprávna požiadavka. Parameter obsahuje dve verzie s rovnakým dátumom pre účinnosť od.;;Invalid request. Parameter includes two versions with similar date effective of.;
errors.codeList.cl.invalid.date.same.fromto;Nesprávna požiadavka. Dátum pre účinnosť od je rovnaký ako dátum pre účinnosť do.;;Invalid request. Date effective of is similar as date effective to.;
errors.codeList.cl.invalid.date.same.to;Nesprávna požiadavka. Parameter obsahuje dve verzie s rovnakým dátumom pre účinnosť do.;;Invalid request. Parameter includes two versions with similar date effective to.;
errors.codeList.cl.invalid.same.languages;Nesprávne dáta pre položku číselníka. Dáta definujú dve hodnoty atribútu platné v rovnakom čase.;;Invalid data for the codelist. Data defining two values of attribute valid in the same time.;
errors.codeList.cl.item.already.exists;Položka so zadaným kódom položky už existuje. Kód položky musí byť jedinečný.;;Item with entered code already exists. Item code has to be unique.;
errors.codeList.cl.item.inappropriate.wfstate;Nesprávna požiadavka. Položka číselníka nie je v korektnom stave pre danú operáciu.;;Invalid request. Codelist item is in incorrect state for particular operation.;
errors.codeList.cl.item.locked;Nesprávna požiadavka. Položka číselníka s daným kódom je zamknutá.;;Invalid request. Codelist item with specified code is locked.;
errors.codeList.cl.item.not.locked;Nesprávna požiadavka. Položka číselníka s daným kódom nie je zamknutá. Nie je možné vykonať danú operáciu nad odomknutou položkou číselníka.;;Invalid request. Codelist item with specified code is unlocked. It is not possible to perform particular operation over unlocked codelist item.;
errors.codeList.cl.item.notexists;Nesprávna požiadavka. Položka číselníka s daným kódom neexistuje.;;Invalid request. Codelist item with specified code does not exist.;
errors.codeList.cl.item.original.notexists;Nesprávna požiadavka. Neexistuje položka číselníka s daným kódom v stave nová.;;Invalid request. Codelist item with specified code does not exist with status new.;
errors.codeList.cl.item.temporal.notexists;Nesprávna požiadavka. Neexistuje položka číselníka s daným kódom v stave rozpracovaná.;;Invalid request. Codelist item with specified code does not exist with status in-process.;
errors.codeList.cl.language.version.alreadyexists;Nesprávna požiadavka. Preklad číselníka je už vytvorený.;;Invalid request. Translation of codelist is already done.;
errors.codeList.cl.language.version.default.changing;Nesprávna požiadavka. Nie je možné meniť slovenský preklad číselníka.;;Invalid request. It is not possible to modify Slovak version of codelist.;
errors.codeList.cl.language.version.notexist;Nesprávna požiadavka. Najskôr je potrebné vytvoriť preklad číselníka.;;Invalid request. First it is necessary to translate codelist.;
errors.codeList.cl.missing.date.from;Nesprávna požiadavka. Chýba začiatok účinnosti.;;Invalid request. Effective date missing.;
errors.codeList.cl.missing.header.legislative;Nesprávna požiadavka. Definovanie legislatívnej účinnosti číselníka je povinné.;;Invalid request. Definition of codelist legal effectiveness is required.;
errors.codeList.cl.missing.header.master.manager;Nesprávna požiadavka. Hlavný gestor číselníka je povinný.;;Invalid request. Main authority of codelist is mandatory.;
errors.codeList.cl.missing.header.name;Nesprávna požiadavka. Názov číselníka je povinný.;;Invalid request. Name of the codelist is required.;
errors.codeList.cl.missing.header.validity;Nesprávna požiadavka. Platnosť číselníka je povinná.;;Invalid request. Validity of the codelist is required.;
errors.codeList.cl.missing.item;Nesprávne dáta pre položku číselníka. Chýba názov položky.;;Invalid data for the codelist. Name of item missing.;
errors.codeList.cl.missing.item.code;Nesprávna požiadavka. Kód položky číselníka je povinný.;;Missing item code.;
errors.codeList.cl.missing.item.date.validation;Pre publikovanie položiek, musia mať všetky položky vyplnení dátum platnosti a dátum začiatku účinnosti.;;To publish items, you must fill field 'EffectiveFrom' and 'ValidFrom' for all items.;
errors.codeList.cl.missing.item.language;Nesprávne dáta pre položku číselníka. Chýba informácia o jazykovej verzii.;;Invalid data for the codelist. Language version information missing.;
errors.codeList.cl.missing.item.name;Nesprávna požiadavka. Názov položky číselníka je povinný.;;Missing item name.;
errors.codeList.cl.missing.value;Nesprávne dáta pre položku číselníka. Chýba povinný parameter položky.;;Invalid data for the codelist. Required item parameter is missing.;
errors.codeList.cl.missingdate.value;Doplňte dátum platnosti a účinnosti číselníka a jeho položiek;;Fill valid and effective date codelist and his items;
errors.codeList.cl.permissiondenied;Na túto operáciu momentálne nemáte práva.;;You are not authorized for this operation.;
errors.codeList.cl.request.codelist.exists;Nesprávna požiadavka. Číselník s daným kódom už existuje.;;Invalid request. Codelist with specified code already exists.;
errors.codeList.cl.request.is.base;Nesprávna požiadavka. Základný číselník musí byť prerokovaný na Komisii pre štandardizáciu ISVS.;Nesprávna požiadavka. Základný číselník musí byť prerokovaný na Komisii pre štandardizáciu ITVS.;Invalid request. Base codelist has to be subject to the Committee for Standardization ISPA.;
errors.codeList.cl.request.isnot.base;Nesprávna požiadavka. Číselník nie je základný a teda nemá byť prerokovaný na Komisii pre štandardizáciu ISVS.;Nesprávna požiadavka. Číselník nie je základný a teda nemá byť prerokovaný na Komisii pre štandardizáciu ITVS.;Invalid request. Codelist is not base codelist and as such does not need to be subject to the Committee for Standardization ISPA.;
errors.codeList.cl.request.not.reject.wsstate;Nesprávna požiadavka. Číselník s rovnakým kódom už existuje alebo existuje žiadosť na pridanie číselníka s rovnakým kódom.;;Invalid request. Codelist with the same code or request for adding codelist with the same code already exists.;
errors.codeList.cl.request.notexists;REQUEST_CODE_DOES_NOT_EXINesprávna požiadavka. Požiadavka na číselník s daným kódom neexistuje.STS;;Invalid request. Request for codelist with specified code does not exist.;
errors.codeList.cl.request.request.code.invalid.value;Nesprávny kód čiselníka.;;Wrong codelist code.;
errors.codeList.cl.required.item;Položky číselníka sú povinné!;;Codelist items are required!;
errors.codeList.cl.wrong.date.format;Nie je dodržaný dátový typ atribútu.;;Wrong date format.;
errors.codeList.cl.xml.managertype.notexists;Nesprávna požiadavka. Nie je zadefinovaný typ gestora.;;Invalid request. Authority type not defined.;
errors.fixLink;Opraviť;;Correct;
errors.invalidEntityId;Nevalidná entita;;Invalid entity;
evaluation.accordion.goals;Ciele a podciele;;Goals;
evaluation.accordion.isvs;ISVS;;ISVS;
evaluation.accordion.krit;KRIT Základné informácie;;KRIT Basic information;
evaluation.accordion.services;Koncové služby;;eGov services;
evaluation.accordion.suggestion;Hromadná pripomienka;;Global suggestion;
evaluation.cancelBtn;Zrušiť;;Cancel;
evaluation.changeBtn;Zmeniť;;Change;
evaluation.created;Začiatok hodnotenia;;Start of evaluation;
evaluation.detailTable.createdBy;Zadávateľ KRIT_TO_BE;;Owner KRIT_TO_BE;
evaluation.detailTable.evaluation;Hodnotenie ÚPPVII;Hodnotenie MIRRI;MIRRI evaluation;
evaluation.detailTable.isApproved;Schvalené;;Approved;
evaluation.detailTable.lastEvaluation;Posledná verzia Hodnotenia ÚPPVII;Posledná verzia Hodnotenia MIRRI;Last version of MIRRI evaluation;
evaluation.editor;Zadávateľ KRIT_TO_BE;;Owner KRIT_TO_BE;
evaluation.evalUPPVII;Hodnotenie ÚPPVII;Hodnotenie MIRRI;MIRRI evaluation;
evaluation.evaluatAll;Vyhodnotiť všetko;;Evaluate all;
evaluation.evaluatSection;Vyhodnotenie;;Evaluation;
evaluation.evaluated;Koniec hodnotenia;;End of evaluation;
evaluation.evaluatedBy;Vyhodnotil;;User;
evaluation.ksTable.ksCode;Kód KS;;Code of eGov;
evaluation.ksTable.ksName;Názov KS;;Name of eGov;
evaluation.ksTable.ksPhases;Názov fázy životného cyklu KS;;Name of life cycle of eGov;
evaluation.lastVerUPPVII;Posledná verzia Hodnotenia ÚPPVII;Posledná verzia Hodnotenia MIRRI;Last version of MIRRI evaluation;
evaluation.saveBtn;Uložiť;;Save;
evaluation.saveSuccess;Zmena bola úspešne uložená;Zmena bola úspešne uložená.;Data has been saved;
evaluation.suggestionNote;Poznámka;;Note;
evaluation.table.isvsCode;Kód ISVS;;Code of ISVS;
evaluation.table.modulIsvs;Je modulom materského ISVS;;Modul of ISVS;
evaluation.table.name;Názov ISVS;;Name of ISVS;
evaluation.table.state;Stav evidencie;;State of ISVS;
evaluation.table.type;Typ ISVS;;Type of ISVS;
evaluation.version;Verzia;;Version;
exportItemsOrRelations.buttonCSV;CSV;;CSV;
exportItemsOrRelations.buttonRDF;RDF;;RDF;
exportItemsOrRelations.buttonXLSX;XLSX;;XLSX;
exportItemsOrRelations.buttonXML;XML;;XML;
exportItemsOrRelations.header;Export položiek alebo vzťahov;;Export items or relations;
exportItemsOrRelations.items;Položky;;Items;
exportItemsOrRelations.loading;Sťahuje sa súbor;;Downloading file;
exportItemsOrRelations.relations;Vzťahy;;Relations;
feedback.approveSaved;Uložené;;Saved;
feedback.approveSuccess;Schválené;;Approved;
feedback.codeAlreadyExists;An internal codelist with such a code already exists;;An internal codelist with such a code already exists;
feedback.error;Chyba pri načítavaní údajov.;Nastala chyba pri načítavaní údajov.;Error while fetching data;
feedback.failedFetch;Vyskytol sa problém s načítaním údajov. Prosím skúste znova.;Vyskytol sa problém s načítaním údajov. Prosím, skúste akciu zopakovať.;There was a problem with fetching data. Please try again.;
feedback.loading;Načítavajú sa údaje...;;Loading...;
feedback.mutationCreateSuccessMessage;Položka bola úspešne vytvorená;Položka bola úspešne vytvorená.;The item was successfully created;
feedback.mutationErrorMessage;Ospravedlňujeme sa, ale pri vykonávaní akcie nastala technická chyba. Pokúste sa akciu zopakovať. V prípade, že sa chyba vyskytuje opakovane, kontaktujte administrátora e-mailom na ;Ospravedlňujeme sa, ale pri vykonávaní akcie nastala technická chyba. Pokúste sa akciu zopakovať. V prípade, že sa chyba vyskytuje opakovane, kontaktujte, prosím, administrátora MetaIS e-mailom na adrese:;We apologize, but a technical error occurred while executing your action. Try the action again. In case the error occurred repeatedly, contact the administrator by e-mail at: ;
feedback.mutationErrorTitle;Akcia zlyhala;;Action failed;
feedback.queryErrorMessage;Ospravedlňujeme sa, ale pri načítavaní dát sa vyskytla technická chyba. Skúste stránku znova načítať. V prípade, že sa chyba vyskytuje opakovane, kontaktujte administrátora e-mailom na adrese ;Ospravedlňujeme sa, ale pri načítavaní dát sa vyskytla technická chyba. Pokúste sa stránku znova načítať. V prípade, že sa chyba vyskytuje opakovane, kontaktujte, prosím, administrátora e-mailom na adrese:;We apologize, but a technical error occurred while data fetching. Try reloading the page. In case the error occurred repeatedly, contact the administrator by e-mail ;We apologize, but a technical error occurred while data fetching. Try reloading the page. In case the error occurred repeatedly, contact the administrator at:
feedback.queryErrorTitle;Nastala chyba;;Error occured;
feedback.returnToWorkSuccess;KRIT bol úspešne vrátený na prepracovanie!;KRIT bol úspešne vrátený na prepracovanie.;KRIT has been successfully returned for rework!;
feedback.saving;Vykonávam akciu;;Saving;
feedback.sendToApprover;KRIT bol úspešne poslaný na schválenie!;KRIT bol úspešne poslaný na schválenie.;COVER has been successfully submitted for approval!;
feedback.sendToRevalidate;Položka bola poslaná na spracovanie, prosím počkajte na notifikáciu o splatnení.;;The item has been sent for processing, please wait for payment notification.;
fileHistory.actualVersion;Aktuálna verzia;;Actual version;
fileHistory.contentLength;Veľkosť;;Size;
fileHistory.documentHistory;História dokumentu;;Document history;
fileHistory.filename;Názov súboru;;File name;
fileHistory.lastModifiedBy;Vytvoril;;Create;
fileHistory.mimeType;Typ dokumentu;;Document type;
fileHistory.validFrom;Platnosť od;;Valid from;
fileHistory.validTo;Platnosť do;;Valid to;
fileHistory.version;Verzia;;Version;
fileImport.browse;Nie je vybratý žiadny súbor (Max. veľkosť súboru 20MB);Nie je vybratý žiadny súbor (max. veľkosť súboru 20MB).;No file is selected (Max. file size 20MB);
fileImport.cancel;Zrušiť;;Cancel;
fileImport.chooseFile;Vybrať súbor;;Choose file;
fileImport.done;Súbory sú naimportované!;Súbory sú naimportované.;Files are imported successfully!;
fileImport.dropHere;Potiahnite a pustite súbory sem;;Drag and drop items here;
fileImport.existingAndNew;Upraviť existujúce a pridať nové;;Edit existing and add new;
fileImport.header;Import položiek alebo vzťahov;;Import items or relationships;
fileImport.import;Importovať;;Import;
fileImport.onlyExisting;Upraviť len existujúce položky;;Edit only existing items;
fileImport.or;Alebo;;Or;
fileImport.retry;Skúsiť znova;;Retry;
fileImport.uploadFailed;Upload action failed. Are you online?;;Upload action failed. Are you online?;
fileImport.validate;Zvalidovať;;Validate;
filter.AS.name;Názov aplikačnej služby;;Name of application service;
filter.Aktivita.name;Názov aktivity;;Name of activity;
filter.Ciel.name;Názov cieľa;;Name of goal;
filter.ISVS.name;Názov informačného systému;;Name of information system;
filter.InfraSluzba.name;Názov;;Name;
filter.KRIS.name;Názov KRIS;;Name of KRIS;
filter.KS.name;Názov koncovej služby;;Name of end service;
filter.PO.evidenceStatus;Stav evidencie;;Evidence status;
filter.PO.itIsChapter;Je kapitola;;It is a chapter;
filter.PO.name;Názov;;Name;
filter.PO.personsCategory;Kategória osoby;;Persons category;
filter.PO.publicAuthorityType;Typ povinnej osoby;Typ orgánu riadenia;Public authority type;
filter.Princip.name;Názov princípu;;Name of principal;
filter.Program.name;Názov;;Name;
filter.Projekt.name;Názov projektu;;Name of project;
filter.WeboveSidlo.name;Názov webového sídla;;Name of web residency;
filter.chooseState;Vyberte stav;;Select status;
filter.chooseValue;Vyberte hodnotu;;Select value;
filter.collapse;Zbaliť filter;;Collapse filter;
filter.expand;Rozbaliť filter;;Expand filter;
filter.metaisCode.label;Kód MetaIS;;Code MetaIS;
filter.metaisCode.placeholder;ks_;;ks_;
filter.namePlaceholder;Zadajte názov;;Enter a name;
filter.reset;Vyčistiť kritériá filtrovania;;Clear Filter;
filter.searchPlaceholder;Vyhľadajte v tabuľke;;Search in table;
filter.submit;Vyfiltrovať;;Filter;
footer.GDPRAndCookies;GDPR a cookies;;GDPR and cookies;
footer.MIRRI;Ministerstvo investícií, regionálneho rozvoja a informatizácie Slovenskej republiky;;Ministry of Investments, Regional Development, and Informatization of the Slovak Republic;
footer.RSS;RSS;;RSS;
footer.accessibilityDeclaration;Vyhlásenie o prístupnosti;;Accessibility declaration;
footer.appVersion;Verzia aplikácie;;App version;
footer.contact;Kontakt;;Contact;
footer.contentAdmin;Správca obsahu;;Admin of content;
footer.created;Vytvorené;;Created;
footer.createdBy;;;Government Digital Services Office;
footer.createdInAccordance;Vytvorené v sulade s ;Vytvorené v súlade s;Created in accordance with ;
footer.exceptionsLegislation;Osobitný postup;Osobitné postupy;Exceptions legislation;
footer.home;Home;;Home;
footer.idsk;Jednotným dizajn manuálom elektronických služieb.;;Unified design manual for electronic services.;
footer.license;Open Government Licence v3.0;;Open Government Licence v3.0;
footer.licenseIf;, pokiaľ nie je uvedené inak;;, unless otherwise stated;
footer.mediaWiki;MediaWiki;;MediaWiki;
footer.metaisServices;Služby MetaIS;;MetaIS Services;
footer.operatorMIRRI;Prevádzkovateľom služby je Ministerstvo investícií, regionálneho rozvoja a informatizácie SR.;;The service is operated by the Ministry of Investments, Regional Development, and Informatization of the Slovak Republic.;
footer.politics.announcements;Oznamy;;Announcements;
footer.politics.departments;Oddelenia;;Departments;
footer.politics.government;Ako funguje vláda;;How government works;
footer.politics.politics;Politiky;;Politics;
footer.politics.publications;Publikácie;;Publications;
footer.politics.title;Oddelenia a politika;;Departments and Policies;
footer.politics.worldwide;Celosvetovo;;Worldwide;
footer.rights;© Autorské práva;;© Copyright;
footer.services.business;Podnikanie a samostatne zárobková činnosť;;Business and self-employment;
footer.services.care;Starostlivosť o deti a rodičovstvo;;Childcare and parenting;
footer.services.city;Bývanie a miestne služby;;Housing and local services;
footer.services.criminality;Kriminalita, spravodlivosť a zákon;;Crime, justice, and law;
footer.services.disabled;Zdravotne postihnutí ľudia;;Disabled people;
footer.services.education;Vzdelávanie a učenie sa;;Education and learning;
footer.services.employment;Zamestnávanie ľudí;;Employment of people;
footer.services.environment;Životné prostredie a vidiek;;Environment and countryside;
footer.services.lifeEvents;Narodenia, úmrtia, sobáše a starostlivosť;;Births, deaths, marriages, and care;
footer.services.population;Obyvateľstvo a život v Spojenom kráľovstve;;Population and life in the United Kingdom;
footer.services.rations;Dávky;;Rations;
footer.services.taxes;Finančné záležitosti a dane;;Financial matters and taxes;
footer.services.title;Služby a informácie;;Services and Information;
footer.services.traffic;Vodičský preukaz a doprava;;Driving license and transportation;
footer.services.travel;Cestovanie a život v zahraničí;;Travel and living abroad;
footer.services.visas;Víza a imigrácia;;Visas and immigration;
footer.services.work;Práca, zamestnanie a dôchodky;;Work, employment, and pensions;
footer.support.contact;Kontakt;;Contact;
footer.support.cookies;Súbory cookies;;Cookies;
footer.support.help;Pomoc;;Help;
footer.support.servicesCzech;Zoznam služieb v češtine;;List of services in Czech;
footer.support.terms;Obchodné podmienky;;Terms and Conditions;
footer.support.title;Odkazy na podporu;;Support Links;
footer.technicalOperator;Technický prevádzkovateľ;;Technical operator;
footer.usefulLinks;Užitočné odkazy;;Useful Links;
footer.webResidencyMap;Mapa webového sídla;;Web residency map;
forgottenPassword.button;Obnoviť heslo;;Reset password;
forgottenPassword.description;Zadajte Vašu emailovú adresu, na ktorú Vám bude doručený odkaz na vytvorenie nového hesla.;Zadajte, prosím, Vašu e-mailovú adresu, na ktorú Vám zašleme odkaz na vytvorenie nového hesla.;Enter your email address to which you will receive a link to create a new password;
forgottenPassword.email;Emailová adresa;E-mailová adresa;Email address;
forgottenPassword.emailFormatError;Neplatný formát e-mailu: Zadajte platnú e-mailovú adresu vo formáte 'meno@example.com';Neplatný tvar e-mailovej adresy. Zadajte, prosím, platnú e-mailovú adresu v tvare 'meno@example.com'.;Invalid Email Format: Please enter a valid email address in the format 'name@example.com'.;
forgottenPassword.emailRequiredError;E-mailová adresa je povinná pre žiadosť o obnovenie hesla.;E-mailová adresa je povinný údaj v žiadosti o obnovenie hesla.;Email address is required for password reset request.;
forgottenPassword.heading;Zabudli ste svoje heslo?;;Did you forget your password?;
forgottenPassword.sendingRequest;Odosiela sa požiadavka na obnovu hesla;Odosiela sa požiadavka na obnovu hesla.;Send request to reset password;
forgottenPassword.success.button;Späť na úvodnú stránku;;Back to homepage;
forgottenPassword.success.description;Na Vami zadanú emailovú adresu sme zaslali informácie s postupom ako obnoviť heslo.;Na Vami zadanú e-mailovú adresu sme zaslali informácie s postupom, ako obnoviť heslo.;Information on how to reset your password has been sent to the email address you provided.;
forgottenPassword.success.title;Obnova hesla prebehla úspešne;Obnova hesla prebehla úspešne.;Password reset was successful;
form.cancel;Zrušiť;;Cancel;
form.editItem;Editovať položku;;Edit item;
form.save;Uložiť formulár;;Save form;
form.search;Hľadať;;Search;
form.select.country;Výber krajiny;;Choose country;
form.submit;Odoslať formulár;Uložiť zmeny;Submit form;
form.userFirstName;Meno použivateľa;;First name of user;
form.userSurName;Priezvisko použivateľa;;Surname of user;
form.waitSending;Čakajte prosím. Odosielam formulár.;Čakajte, prosím, formulár sa odosiela.;Wait please. I am sending the form.;
globalSearch.code;Kód;;Code;
globalSearch.filter.all;Všetky;;All;
globalSearch.filter.attribute;Atribút;;Attribute;
globalSearch.filter.customRange;Vlastný rozsah;;Custom range;
globalSearch.filter.document;Dokument;;Document;
globalSearch.filter.documentType;Typ dokumentu;;Type of document;
globalSearch.filter.docx;DOCX;;DOCX;
globalSearch.filter.fromUpdate;Aktualizované od;;Updated from;
globalSearch.filter.object;Objekt;;Object;
globalSearch.filter.otd;OTD;;OTD;
globalSearch.filter.owner;Vlastník;;Owner;
globalSearch.filter.pdf;PDF;;PDF;
globalSearch.filter.relation;Vzťah;;Relation;
globalSearch.filter.resultType;Typ výsledku;;Type of result;
globalSearch.filter.rtf;RTF;;RTF;
globalSearch.filter.section;Sekcia;;Section;
globalSearch.filter.selected;{{count}} vybrané;;{{count}} selected;
globalSearch.filter.submitButton;Filtrovať výsledky;;Filter results;
globalSearch.filter.thisMonth;Tento mesiac;;This month;
globalSearch.filter.thisWeek;Tento týždeň;;This week;
globalSearch.filter.thisYear;Tento rok;;This year;
globalSearch.filter.toUpdate;Aktualizované do;;Updated to;
globalSearch.filter.today;Dnes;;Today;
globalSearch.filter.updateDate;Dátum aktualizácie;;Update date;
globalSearch.header;Výsledky vyhľadávania pre {{item}};;Search results for {{item}};
globalSearch.numberOfResults;{{count}} výsledkov;;{{count}} results;
globalSearch.state;Stav;;State;
graph.exportPDF;Ako PDF;;As PDF;
